Study Identifier,Study Repository ,Strain,Additional Phenotypic Model,Age at Study Start ,Age at Collection or Euthanization,Animal Supplier,Weight Range,Group or Individual Housing,Germ-free or Conventional Housing,Bedding Type ,Cage Cleaning Frequency,Cage Type,Environmental Control: Temperature,Environmental Control: Humidity,Light Cycle,Diet,ab lib or Restricted Diet,Tap or Purified Water,Use of Anesthesia,Anesthesia Time,Anesthesia Dose,Acclimation Duration to Experimental Facility,Number of Groups,Sex,Inclusion Criteria,Treatment,Treatment Dose,Treatment Duration,Treatment Route,Treatment Vehicle,Fasting Status,Fasting Duration,Euthanasia Method,Biofluid or Tissue,Tissue Processing,Body Weights or Food Consumption  ,Volume or Quantity of Sample Collection,Sample Storage Temperature,Sample Storage Duration,Collection Time,Location of Sample Collection,Anticoagulant,Collection Method,Collection Frequency,Collection Duration,Bacteriostatic Agent,Temperature of Collection Tube
ST000311,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,,,1,,,,,,,,,
ST000341,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,1,1,,,1,,,,,,
ST000314,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1,,,1,,,,1,,1,,,,,,,
ST000164,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,1,,,,1,,,,1,,,,,,,,,
ST000196,Metabolomics Workbench,1,,1,1,1,,,,,,,,,1,,,,,,,,,1,,1,1,,1,,,,1,1,,,,,,,,,,,,,
ST000212,Metabolomics Workbench,1,1,1,1,1,,,,,,,,,1,,,,,,,,,1,,1,1,1,1,,,,1,1,1,,,1,,,,,,,,,
ST000254,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,,,,1,,,,,,,,,,,,,
ST000287,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,,,,,,1
ST000325,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,1,1,,1,,,,,,,,,,
ST000340,Metabolomics Workbench,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,1,1,,,,,1,,,,,,,
ST000374,Metabolomics Workbench,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,1,1,,,,,,,,,,,,
ST000375,Metabolomics Workbench,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,1,,,,,,1,1,,,,,,,,,,,,
ST000376,Metabolomics Workbench,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,1,,,1,,,,,,,,,
MSV000078638,GNPS,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000080180,GNPS,,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
MSV000080000,GNPS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000080181,GNPS,,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
MSV000079542,GNPS,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,
MSV000079787,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSV000079411,GNPS,,,,,,,,,,,,,,,1,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,
MSV000079949,GNPS,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078637,GNPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000079615,GNPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000078590,GNPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
MSV000080183,GNPS,,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
MSV000079922,GNPS,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
MSV000079327,GNPS,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1,,,,,,,
MSV000080182,GNPS,,,1,1,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,1,,,,,,1,,,,,,,
MSV000078801,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSV000080558,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSV000080574,GNPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
